sample,response,population,percentage
sample00000,no,b_cell,11.7
sample00001,no,b_cell,6.72
sample00002,no,b_cell,10.55
sample00006,no,b_cell,5.91
sample00007,no,b_cell,10.57
sample00008,no,b_cell,9.77
sample00009,no,b_cell,7.98
sample00010,no,b_cell,12.28
sample00011,no,b_cell,11.83
sample00072,no,b_cell,9.33
sample00073,no,b_cell,9.94
sample00074,no,b_cell,14.27
sample00081,no,b_cell,10.29
sample00082,no,b_cell,5.87
sample00083,no,b_cell,8.28
sample00123,no,b_cell,8.47
sample00124,no,b_cell,7.93
sample00125,no,b_cell,16.68
sample00153,no,b_cell,12.11
sample00154,no,b_cell,4.94
sample00155,no,b_cell,9.25
sample00174,no,b_cell,7.57
sample00175,no,b_cell,10.6
sample00176,no,b_cell,7.58
sample00186,no,b_cell,12.48
sample00187,no,b_cell,13.76
sample00188,no,b_cell,10.69
sample00189,no,b_cell,7.73
sample00190,no,b_cell,5.42
sample00191,no,b_cell,10.91
sample00213,no,b_cell,11.74
sample00214,no,b_cell,13.33
sample00215,no,b_cell,8.97
sample00243,no,b_cell,5.06
sample00244,no,b_cell,3.59
sample00245,no,b_cell,12.9
sample00249,no,b_cell,14.1
sample00250,no,b_cell,10.29
sample00251,no,b_cell,8.89
sample00285,no,b_cell,15.57
sample00286,no,b_cell,8.32
sample00287,no,b_cell,9.29
sample00402,no,b_cell,5.96
sample00403,no,b_cell,8.88
sample00404,no,b_cell,9.14
sample00411,no,b_cell,14.3
sample00412,no,b_cell,4.79
sample00413,no,b_cell,7.57
sample00414,no,b_cell,7.2
sample00415,no,b_cell,10.99
sample00416,no,b_cell,7.61
sample00435,no,b_cell,9.84
sample00436,no,b_cell,7.27
sample00437,no,b_cell,9.99
sample00459,no,b_cell,7.74
sample00460,no,b_cell,7.79
sample00461,no,b_cell,12.61
sample00465,no,b_cell,7.04
sample00466,no,b_cell,15.98
sample00467,no,b_cell,15.71
sample00471,no,b_cell,6.03
sample00472,no,b_cell,9.12
sample00473,no,b_cell,9.47
sample00480,no,b_cell,10.45
sample00481,no,b_cell,8.09
sample00482,no,b_cell,11.38
sample00492,no,b_cell,10.7
sample00493,no,b_cell,9.37
sample00494,no,b_cell,8.12
sample00513,no,b_cell,18.1
sample00514,no,b_cell,6.42
sample00515,no,b_cell,6.34
sample00516,no,b_cell,6.82
sample00517,no,b_cell,17.8
sample00518,no,b_cell,11.67
sample00522,no,b_cell,10.01
sample00523,no,b_cell,12.11
sample00524,no,b_cell,8.58
sample00534,no,b_cell,5.62
sample00535,no,b_cell,6.26
sample00536,no,b_cell,9.79
sample00585,no,b_cell,7.7
sample00586,no,b_cell,13.44
sample00587,no,b_cell,6.61
sample00588,no,b_cell,7.63
sample00589,no,b_cell,9.86
sample00590,no,b_cell,14.5
sample00624,no,b_cell,11.38
sample00625,no,b_cell,11.39
sample00626,no,b_cell,7.2
sample00639,no,b_cell,11.14
sample00640,no,b_cell,10.67
sample00641,no,b_cell,9.27
sample00693,no,b_cell,8.31
sample00694,no,b_cell,10.04
sample00695,no,b_cell,6.33
